#SampleID	Date	Week	Year	Location	Tissue	Replicate	Sample_or_Control	Run	Product	Stage	Fortnight	Name	SiteYear
Sample186	6.17.21	7	2021	PLP	Coloring	4	True Sample	Run2	Fruit	Coloring	4	6-17-21-CP-4	PLP21
Sample187	6.17.21	7	2021	PLP	Green	1	True Sample	Run2	Fruit	Coloring	4	6-17-21-GP-1	PLP21
Sample188	6.17.21	7	2021	PLP	Green	2	True Sample	Run2	Fruit	Coloring	4	6-17-21-GP-2	PLP21
Sample189	6.17.21	7	2021	PLP	Green	3	True Sample	Run2	Fruit	Coloring	4	6-17-21-GP-3	PLP21
Sample190	6.17.21	7	2021	PLP	Green	4	True Sample	Run2	Fruit	Coloring	4	6-17-21-GP-4	PLP21
Sample191	6.17.21	7	2021	PLP	Leaf	1	True Sample	Run1	Leaf	Coloring	4	6-17-21-LP-1	PLP21
Sample192	6.17.21	7	2021	PLP	Leaf	2	True Sample	Run1	Leaf	Coloring	4	6-17-21-LP-2	PLP21
Sample193	6.17.21	7	2021	PLP	Leaf	3	True Sample	Run1	Leaf	Coloring	4	6-17-21-LP-3	PLP21
Sample194	6.17.21	7	2021	PLP	Leaf	4	True Sample	Run1	Leaf	Coloring	4	6-17-21-LP-4	PLP21
Sample195	6.20.20	8	2020	PLP	Green	1	True Sample	Run1	Fruit	Coloring	4	6-20-20-GP-1	PLP20
Sample196	6.20.20	8	2020	PLP	Green	2	True Sample	Run1	Fruit	Coloring	4	6-20-20-GP-2	PLP20
Sample197	6.20.20	8	2020	PLP	Green	3	True Sample	Run1	Fruit	Coloring	4	6-20-20-GP-3	PLP20
Sample198	6.20.20	8	2020	PLP	Green	4	True Sample	Run1	Fruit	Coloring	4	6-20-20-GP-4	PLP20
Sample199	6.20.20	8	2020	PLP	Leaf	1	True Sample	Run1	Leaf	Coloring	4	6-20-20-LP-1	PLP20
Sample200	6.20.20	8	2020	PLP	Leaf	2	True Sample	Run1	Leaf	Coloring	4	6-20-20-LP-2	PLP20
Sample201	6.20.20	8	2020	PLP	Leaf	3	True Sample	Run1	Leaf	Coloring	4	6-20-20-LP-3	PLP20
Sample202	6.20.20	8	2020	PLP	Leaf	4	True Sample	Run1	Leaf	Coloring	4	6-20-20-LP-4	PLP20
Sample203	6.20.20	8	2020	PLP	Stem	1	True Sample	Run2	Stem	Coloring	4	6-20-20-SP-1	PLP20
Sample204	6.20.20	8	2020	PLP	Stem	2	True Sample	Run2	Stem	Coloring	4	6-20-20-SP-2	PLP20
Sample205	6.20.20	8	2020	PLP	Stem	3	True Sample	Run2	Stem	Coloring	4	6-20-20-SP-3	PLP20
Sample206	6.20.20	8	2020	PLP	Stem	4	True Sample	Run2	Stem	Coloring	4	6-20-20-SP-4	PLP20
Sample207	6.22.20	8	2020	SWMREC	Green	1	True Sample	Run1	Fruit	Coloring	4	6-22-20-GM-1	SWMREC
Sample208	6.22.20	8	2020	SWMREC	Green	2	True Sample	Run1	Fruit	Coloring	4	6-22-20-GM-2	SWMREC
Sample209	6.22.20	8	2020	SWMREC	Green	3	True Sample	Run1	Fruit	Coloring	4	6-22-20-GM-3	SWMREC
Sample210	6.22.20	8	2020	SWMREC	Green	4	True Sample	Run1	Fruit	Coloring	4	6-22-20-GM-4	SWMREC
Sample211	6.22.20	8	2020	SWMREC	Leaf	1	True Sample	Run2	Leaf	Coloring	4	6-22-20-LM-1	SWMREC
Sample212	6.22.20	8	2020	SWMREC	Leaf	2	True Sample	Run2	Leaf	Coloring	4	6-22-20-LM-2	SWMREC
Sample213	6.22.20	8	2020	SWMREC	Leaf	3	True Sample	Run2	Leaf	Coloring	4	6-22-20-LM-3	SWMREC
